,id,imdb_id,original_title,title,genres,budget,revenue,release_date,runtime,vote_average,vote_count,genre_term_1,genre_term_2,genre_term_3,genre_term_4,genre_term_5,genre_term_6,genre_term_7,genre_term_8,genre_term_9,budget_adjusted_to_2020,revenue_adjusted_to_2020
16,4584,tt0114388,Sense and Sensibility,Sense and Sensibility,"Drama,Romance",16500000.0,135000000.0,1995-12-13,136.0,7.2,364.0,Drama,Romance,,,,,,,,27993900.0,229041000.0
17,5,tt0113101,Four Rooms,Four Rooms,"Crime,Comedy",4000000.0,4300000.0,1995-12-09,98.0,6.5,539.0,Crime,Comedy,,,,,,,,6786400.0,7295380.0
18,9273,tt0112281,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,"Crime,Comedy,Adventure",30000000.0,212385533.0,1995-11-10,90.0,6.1,1128.0,Crime,Comedy,Adventure,,,,,,,50898000.0,360333295.29
19,11517,tt0113845,Money Train,Money Train,"Action,Comedy,Crime",60000000.0,35431113.0,1995-11-21,103.0,5.4,224.0,Action,Comedy,Crime,,,,,,,101796000.0,60112426.32
20,8012,tt0113161,Get Shorty,Get Shorty,"Comedy,Thriller,Crime",30250000.0,115101622.0,1995-10-20,105.0,6.4,305.0,Comedy,Thriller,Crime,,,,,,,51322150.0,195281411.89
22,9691,tt0112401,Assassins,Assassins,"Action,Adventure,Crime,Thriller",50000000.0,30303072.0,1995-10-06,132.0,6.0,394.0,Action,Adventure,Crime,Thriller,,,,,,84830000.0,51412191.96
24,451,tt0113627,Leaving Las Vegas,Leaving Las Vegas,"Drama,Romance",3600000.0,49800000.0,1995-10-27,112.0,7.1,365.0,Drama,Romance,,,,,,,,6107760.0,84490680.0
26,9263,tt0114011,Now and Then,Now and Then,"Comedy,Drama,Family",12000000.0,27400000.0,1995-10-20,100.0,6.6,91.0,Comedy,Drama,Family,,,,,,,20359200.0,46486840.0
28,902,tt0112682,La Cité des Enfants Perdus,The City of Lost Children,"Fantasy,Science,Fiction,Adventure",18000000.0,1738611.0,1995-05-16,108.0,7.6,308.0,Fantasy,Science,Fiction,Adventure,,,,,,30538800.0,2949727.42
31,63,tt0114746,Twelve Monkeys,Twelve Monkeys,"Science,Fiction,Thriller,Mystery",29500000.0,168840000.0,1995-12-29,129.0,7.4,2470.0,Science,Fiction,Thriller,Mystery,,,,,,50049700.0,286453944.0
33,9598,tt0112431,Babe,Babe,"Fantasy,Drama,Comedy,Family",30000000.0,254134910.0,1995-07-18,89.0,6.0,756.0,Fantasy,Drama,Comedy,Family,,,,,,50898000.0,431165288.31
35,687,tt0112818,Dead Man Walking,Dead Man Walking,Drama,11000000.0,39363635.0,1995-12-29,122.0,7.3,350.0,Drama,,,,,,,,,18662600.0,66784343.14
43,9312,tt0113855,Mortal Kombat,Mortal Kombat,"Action,Fantasy",18000000.0,122195920.0,1995-08-18,101.0,5.4,452.0,Action,Fantasy,,,,,,,,30538800.0,207317597.87
44,577,tt0114681,To Die For,To Die For,"Fantasy,Drama,Comedy,Thriller",20000000.0,21284514.0,1995-05-20,106.0,6.7,177.0,Fantasy,Drama,Comedy,Thriller,,,,,,33932000.0,36111306.45
45,11861,tt0113347,How To Make An American Quilt,How To Make An American Quilt,"Drama,Romance",10000000.0,23574130.0,1995-10-06,116.0,6.5,38.0,Drama,Romance,,,,,,,,16966000.0,39995868.96
46,807,tt0114369,Se7en,Se7en,"Crime,Mystery,Thriller",33000000.0,327311859.0,1995-09-22,127.0,8.1,5915.0,Crime,Mystery,Thriller,,,,,,,55987800.0,555317299.98
47,10530,tt0114148,Pocahontas,Pocahontas,"Adventure,Animation,Drama,Family",55000000.0,346079773.0,1995-06-14,81.0,6.7,1509.0,Adventure,Animation,Drama,Family,,,,,,93313000.0,587158942.87
49,629,tt0114814,The Usual Suspects,The Usual Suspects,"Drama,Crime,Thriller",6000000.0,23341568.0,1995-07-19,106.0,8.1,3334.0,Drama,Crime,Thriller,,,,,,,10179600.0,39601304.27
51,11448,tt0113819,Mighty Aphrodite,Mighty Aphrodite,"Comedy,Romance",15000000.0,6700000.0,1995-09-13,95.0,6.7,145.0,Comedy,Romance,,,,,,,,25449000.0,11367220.0
68,10634,tt0113118,Friday,Friday,Comedy,3500000.0,28215918.0,1995-04-26,91.0,7.0,513.0,Comedy,,,,,,,,,5938100.0,47871126.48
69,755,tt0116367,From Dusk Till Dawn,From Dusk Till Dawn,"Horror,Action,Thriller,Crime",19000000.0,25836616.0,1996-01-19,108.0,6.9,1644.0,Horror,Action,Thriller,Crime,,,,,,31310100.0,42576159.51
70,11859,tt0113010,Fair Game,Fair Game,"Action,Thriller,Romance",50000000.0,11534477.0,1995-11-03,91.0,4.1,54.0,Action,Thriller,Romance,,,,,,,84830000.0,19569393.68
74,36929,tt0115676,Big Bully,Big Bully,"Comedy,Family",15000000.0,2042530.0,1996-01-26,90.0,3.9,16.0,Comedy,Family,,,,,,,,24718500.0,3365885.19
75,9102,tt0114367,Screamers,Screamers,"Horror,Science,Fiction",20000000.0,5781885.0,1995-09-08,108.0,6.1,154.0,Horror,Science,Fiction,,,,,,,33932000.0,9809546.09
80,400,tt0114660,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,"Drama,Crime",8000000.0,529766.0,1995-12-01,116.0,6.7,87.0,Drama,Crime,,,,,,,,13572800.0,898801.0
85,10534,tt0118158,White Squall,White Squall,"Action,Drama",38000000.0,10300000.0,1996-02-02,129.0,6.3,86.0,Action,Drama,,,,,,,,62620200.0,16973370.0
88,2086,tt0113972,Nick of Time,Nick of Time,"Crime,Drama,Thriller",8169363.0,8175346.0,1995-11-22,90.0,6.1,190.0,Crime,Drama,Thriller,,,,,,,13860141.27,13870292.02
90,9095,tt0117002,Mary Reilly,Mary Reilly,"Drama,Horror,Thriller,Romance",47000000.0,12379402.0,1996-02-23,104.0,5.7,77.0,Drama,Horror,Thriller,Romance,,,,,,77451300.0,20400016.56
91,12158,tt0114825,Vampire in Brooklyn,Vampire in Brooklyn,"Comedy,Horror,Romance",14000000.0,19800000.0,1995-10-26,100.0,4.5,113.0,Comedy,Horror,Romance,,,,,,,23752400.0,33592680.0
93,9208,tt0115759,Broken Arrow,Broken Arrow,"Action,Adventure,Drama,Thriller",50000000.0,150270147.0,1996-02-09,108.0,5.7,459.0,Action,Adventure,Drama,Thriller,,,,,,82395000.0,247630175.24
99,13685,tt0115734,Bottle Rocket,Bottle Rocket,"Comedy,Crime,Drama",7000000.0,560069.0,1996-02-21,91.0,6.8,285.0,Comedy,Crime,Drama,,,,,,,11535300.0,922937.71
102,9614,tt0116483,Happy Gilmore,Happy Gilmore,Comedy,12000000.0,41205099.0,1996-02-16,92.0,6.5,767.0,Comedy,,,,,,,,,19774800.0,67901882.64
103,688,tt0112579,The Bridges of Madison County,The Bridges of Madison County,"Drama,Romance",24000000.0,182016617.0,1995-05-28,135.0,7.3,397.0,Drama,Romance,,,,,,,,40718400.0,308809392.4
108,197,tt0112573,Braveheart,Braveheart,"Action,Drama,History,War",72000000.0,210000000.0,1995-05-24,177.0,7.7,3404.0,Action,Drama,History,War,,,,,,122155200.0,356286000.0
109,103,tt0075314,Taxi Driver,Taxi Driver,"Crime,Drama",1300000.0,28262574.0,1976-02-07,114.0,8.1,2632.0,Crime,Drama,,,,,,,,5905250.0,128382742.4
110,33542,tt0113326,紅番區,Rumble in the Bronx,"Crime,Action,Comedy,Thriller",7500000.0,32392047.0,1995-01-30,91.0,6.5,245.0,Crime,Action,Comedy,Thriller,,,,,,12724500.0,54956346.94
117,78406,tt0114536,Steal Big Steal Little,Steal Big Steal Little,"Comedy,Drama",25000000.0,6278139.0,1995-09-29,113.0,5.1,7.0,Comedy,Drama,,,,,,,,42415000.0,10651490.63
120,11066,tt0103859,Boomerang,Boomerang,"Comedy,Romance",40000000.0,70100000.0,1992-06-30,117.0,5.4,139.0,Comedy,Romance,,,,,,,,73760000.0,129264400.0
123,2074,tt0116324,Flirting with Disaster,Flirting with Disaster,"Comedy,Romance",7000000.0,14702438.0,1996-03-22,92.0,6.3,66.0,Comedy,Romance,,,,,,,,11535300.0,24228147.58
130,11863,tt0113451,Jade,Jade,"Action,Thriller,Mystery,Romance",50000000.0,9851610.0,1995-10-13,95.0,5.1,45.0,Action,Thriller,Mystery,Romance,,,,,,84830000.0,16714241.53
139,11000,tt0115685,The Birdcage,The Birdcage,Comedy,31000000.0,185260553.0,1996-03-08,117.0,6.7,303.0,Comedy,,,,,,,,,51084900.0,305290865.29
142,9737,tt0112442,Bad Boys,Bad Boys,"Action,Comedy,Crime,Thriller",19000000.0,141407024.0,1995-04-07,118.0,6.5,1729.0,Action,Comedy,Crime,Thriller,,,,,,32235400.0,239911156.92
145,22279,tt0112427,An Awfully Big Adventure,An Awfully Big Adventure,"Romance,Drama,Comedy",4000000.0,851545.0,1995-07-21,113.0,6.0,11.0,Romance,Drama,Comedy,,,,,,,6786400.0,1444731.25
147,568,tt0112384,Apollo 13,Apollo 13,Drama,52000000.0,355237933.0,1995-06-30,140.0,7.3,1637.0,Drama,,,,,,,,,88223200.0,602696677.13
148,11780,tt0114287,Rob Roy,Rob Roy,Adventure,28000000.0,31596911.0,1995-04-13,139.0,6.5,151.0,Adventure,,,,,,,,,47504800.0,53607319.2
150,414,tt0112462,Batman Forever,Batman Forever,"Action,Crime,Fantasy",100000000.0,336529144.0,1995-06-16,121.0,5.2,1529.0,Action,Crime,Fantasy,,,,,,,169660000.0,570955345.71
153,5894,tt0112541,Blue in the Face,Blue in the Face,Comedy,2000000.0,1275000.0,1995-09-15,83.0,6.8,28.0,Comedy,,,,,,,,,3393200.0,2163165.0
154,1775,tt0109370,Canadian Bacon,Canadian Bacon,"Action,Comedy",11000000.0,178104.0,1995-06-08,91.0,5.9,57.0,Action,Comedy,,,,,,,,18662600.0,302171.25
155,8839,tt0112642,Casper,Casper,"Fantasy,Comedy,Family",50000000.0,287928194.0,1995-05-26,100.0,6.0,1045.0,Fantasy,Comedy,Family,,,,,,,84830000.0,488498973.94
156,20649,tt0112688,Clockers,Clockers,"Mystery,Crime,Drama",25000000.0,13071518.0,1995-09-15,128.0,6.8,69.0,Mystery,Crime,Drama,,,,,,,42415000.0,22177137.44
157,10329,tt0112715,Congo,Congo,"Action,Adventure,Drama,Mystery,Science,Fiction,Thriller",50000000.0,152022101.0,1995-06-09,109.0,5.0,214.0,Action,Adventure,Drama,Mystery,Science,Fiction,Thriller,,,84830000.0,257920696.56
158,8963,tt0112740,Crimson Tide,Crimson Tide,"Action,Thriller,Drama",53000000.0,157387195.0,1995-05-12,116.0,7.0,508.0,Action,Thriller,Drama,,,,,,,89919800.0,267023115.04
160,8068,tt0112851,Desperado,Desperado,"Thriller,Action,Crime",7000000.0,25405445.0,1995-08-25,104.0,6.8,898.0,Thriller,Action,Crime,,,,,,,11876200.0,43102877.99
161,8512,tt0112857,Devil in a Blue Dress,Devil in a Blue Dress,"Drama,Mystery,Thriller",27000000.0,16140822.0,1995-09-15,102.0,6.3,88.0,Drama,Mystery,Thriller,,,,,,,45808200.0,27384518.61
162,1572,tt0112864,Die Hard: With a Vengeance,Die Hard: With a Vengeance,"Action,Thriller",90000000.0,366101666.0,1995-05-19,128.0,6.9,2094.0,Action,Thriller,,,,,,,,152694000.0,621128086.54
165,6520,tt0113071,First Knight,First Knight,"Action,Adventure,Drama,Romance",55000000.0,127600435.0,1995-07-07,134.0,5.9,319.0,Action,Adventure,Drama,Romance,,,,,,93313000.0,216486898.02
167,10428,tt0113243,Hackers,Hackers,"Action,Crime,Thriller,Drama",20000000.0,7563728.0,1995-09-14,107.0,6.2,406.0,Action,Crime,Thriller,Drama,,,,,,33932000.0,12832620.92
169,9886,tt0113481,Johnny Mnemonic,Johnny Mnemonic,"Adventure,Action,Drama,Science,Fiction,Thriller",25000000.0,19075720.0,1995-05-26,97.0,5.5,380.0,Adventure,Action,Drama,Science,Fiction,Thriller,,,,42415000.0,32363866.55
170,9482,tt0113492,Judge Dredd,Judge Dredd,"Science,Fiction",90000000.0,113493481.0,1995-06-30,96.0,5.4,643.0,Science,Fiction,,,,,,,,152694000.0,192553039.86
172,9344,tt0113540,Kids,Kids,"Drama,Crime",1500000.0,7412216.0,1995-07-28,91.0,6.8,280.0,Drama,Crime,,,,,,,,2544900.0,12575565.67
173,9071,tt0113677,Living in Oblivion,Living in Oblivion,"Drama,Comedy",500000.0,1148752.0,1995-01-20,89.0,7.2,64.0,Drama,Comedy,,,,,,,,848300.0,1948972.64
177,2293,tt0113749,Mallrats,Mallrats,"Romance,Comedy",6000000.0,2122561.0,1995-10-20,94.0,6.8,400.0,Romance,Comedy,,,,,,,,10179600.0,3601136.99
178,9070,tt0113820,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,"Action,Adventure,Science,Fiction,Family,Fantasy",15000000.0,66000000.0,1995-06-30,92.0,5.2,153.0,Action,Adventure,Science,Fiction,Family,Fantasy,,,,25449000.0,111975600.0
180,48787,tt0110604,Mute Witness,Mute Witness,"Thriller,Foreign",2.0,1.0,1995-09-28,95.0,6.4,36.0,Thriller,Foreign,,,,,,,,3.39,1.7
182,1642,tt0113957,The Net,The Net,"Crime,Drama,Mystery,Thriller,Action",22000000.0,110627965.0,1995-07-28,114.0,5.6,359.0,Crime,Drama,Mystery,Thriller,Action,,,,,37325200.0,187691405.42
184,36196,tt0114095,Party Girl,Party Girl,Comedy,150000.0,472370.0,1995-06-09,94.0,5.8,14.0,Comedy,,,,,,,,,254490.0,801422.94
185,11980,tt0114194,The Prophecy,The Prophecy,"Fantasy,Horror,Thriller",8.0,16.0,1995-09-01,98.0,6.4,139.0,Fantasy,Horror,Thriller,,,,,,,13.57,27.15
188,10533,tt0114345,The Scarlet Letter,The Scarlet Letter,"Drama,History,Romance",50000000.0,10382407.0,1995-10-13,135.0,5.5,111.0,Drama,History,Romance,,,,,,,84830000.0,17614791.72
190,10802,tt0114436,Showgirls,Showgirls,Drama,45000000.0,20350754.0,1995-09-22,128.0,4.9,261.0,Drama,,,,,,,,,76347000.0,34527089.24
191,10149,tt0114478,Smoke,Smoke,"Comedy,Drama",7000000.0,8349430.0,1995-06-09,112.0,7.2,115.0,Comedy,Drama,,,,,,,,11876200.0,14165642.94
193,9348,tt0114508,Species,Species,"Science,Fiction,Horror,Action",35000000.0,113374103.0,1995-07-07,108.0,5.5,457.0,Science,Fiction,Horror,Action,,,,,,59381000.0,192350503.15
195,281,tt0114558,Strange Days,Strange Days,"Crime,Drama,Science,Fiction,Thriller",42000000.0,7959291.0,1995-10-13,145.0,6.8,334.0,Crime,Drama,Science,Fiction,Thriller,,,,,71257200.0,13503733.11
197,79593,tt0114666,The Tie That Binds,The Tie That Binds,Thriller,14000000.0,5780000.0,1995-09-08,99.0,4.6,9.0,Thriller,,,,,,,,,23752400.0,9806348.0
201,3512,tt0114781,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,"Action,Thriller",60000000.0,104324083.0,1995-07-13,100.0,5.6,217.0,Action,Thriller,,,,,,,,101796000.0,176996239.22
204,9560,tt0114887,A Walk in the Clouds,A Walk in the Clouds,"Drama,Romance",20000000.0,50012507.0,1995-08-11,103.0,6.5,168.0,Drama,Romance,,,,,,,,33932000.0,84851219.38
205,9804,tt0114898,Waterworld,Waterworld,"Adventure,Action",175000000.0,264218220.0,1995-07-28,135.0,5.9,1017.0,Adventure,Action,,,,,,,,296905000.0,448272632.05
210,50797,tt0111579,Утомлённые солнцем,Burnt by the Sun,Drama,2800000.0,2616503.0,1994-05-01,135.0,6.7,35.0,Drama,,,,,,,,,4889640.0,4569199.19
212,76,tt0112471,Before Sunrise,Before Sunrise,"Drama,Romance",2500000.0,5535405.0,1995-01-27,105.0,7.7,984.0,Drama,Romance,,,,,,,,4241500.0,9391368.12
213,11017,tt0112508,Billy Madison,Billy Madison,Comedy,10000000.0,26488734.0,1995-02-10,89.0,6.2,464.0,Comedy,,,,,,,,,16966000.0,44940786.1
215,9382,tt0112571,Boys on the Side,Boys on the Side,"Comedy,Drama",21000000.0,23450000.0,1995-02-03,115.0,6.3,48.0,Comedy,Drama,,,,,,,,35628600.0,39785270.0
219,2292,tt0109445,Clerks,Clerks,Comedy,27000.0,3151130.0,1994-09-13,92.0,7.4,769.0,Comedy,,,,,,,,,47150.1,5502818.32
220,1909,tt0112883,Don Juan DeMarco,Don Juan DeMarco,"Romance,Drama,Comedy",25000000.0,22200000.0,1994-10-01,97.0,6.3,184.0,Romance,Drama,Comedy,,,,,,,43657500.0,38767860.0
221,8984,tt0109635,Disclosure,Disclosure,"Drama,Thriller,Crime,Mystery,Romance",55000000.0,214015089.0,1994-12-09,123.0,5.9,217.0,Drama,Thriller,Crime,Mystery,Romance,,,,,96046500.0,373734549.92
227,8467,tt0109686,Dumb and Dumber,Dumb and Dumber,Comedy,16000000.0,247275374.0,1994-12-16,107.0,6.5,1894.0,Comedy,,,,,,,,,27940800.0,431816985.62
231,522,tt0109707,Ed Wood,Ed Wood,"Comedy,Drama,History",18000000.0,5887457.0,1994-09-27,127.0,7.3,639.0,Comedy,Drama,History,,,,,,,31433400.0,10281266.16
236,27303,tt0113303,Hideaway,Hideaway,"Drama,Thriller",15000000.0,12201255.0,1995-03-03,103.0,5.0,24.0,Drama,Thriller,,,,,,,,25449000.0,20700649.23
242,14275,tt0110057,Hoop Dreams,Hoop Dreams,Documentary,700000.0,7830611.0,1994-09-12,171.0,7.7,91.0,Documentary,,,,,,,,,1222410.0,13674595.99
243,1024,tt0110005,Heavenly Creatures,Heavenly Creatures,"Drama,Fantasy",5000000.0,3049135.0,1994-09-02,99.0,6.9,299.0,Drama,Fantasy,,,,,,,,8731500.0,5324704.45
244,17207,tt0110066,Houseguest,Houseguest,"Comedy,Family",10500000.0,26325256.0,1995-01-06,113.0,6.0,17.0,Comedy,Family,,,,,,,,17814300.0,44663429.33
249,628,tt0110148,Interview with the Vampire,Interview with the Vampire,"Horror,Romance",60000000.0,223664608.0,1994-11-11,123.0,7.2,1558.0,Horror,Romance,,,,,,,,104778000.0,390585504.95
250,87729,tt0113463,Jefferson in Paris,Jefferson in Paris,"Drama,Romance",14000000.0,2474000.0,1995-03-31,139.0,5.2,10.0,Drama,Romance,,,,,,,,23752400.0,4197388.4
252,6280,tt0110216,Junior,Junior,"Comedy,Family,Romance",60000000.0,37000000.0,1994-11-22,109.0,4.7,381.0,Comedy,Family,Romance,,,,,,,104778000.0,64613100.0
256,11,tt0076759,Star Wars,Star Wars,"Adventure,Action,Science,Fiction",11000000.0,775398007.0,1977-05-25,121.0,8.1,6778.0,Adventure,Action,Science,Fiction,,,,,,46939200.0,3308778375.47
261,18183,tt0103994,Como agua para chocolate,Like Water for Chocolate,"Drama,Romance",2000000.0,21665468.0,1992-04-16,105.0,6.6,70.0,Drama,Romance,,,,,,,,3688000.0,39951122.99
262,4476,tt0110322,Legends of the Fall,Legends of the Fall,"Adventure,Drama,Romance,War",30000000.0,160638883.0,1994-12-16,133.0,7.2,636.0,Adventure,Drama,Romance,War,,,,,,52389000.0,280523681.38
267,28313,tt0113691,Losing Isaiah,Losing Isaiah,Drama,17000000.0,7603766.0,1995-03-17,106.0,6.4,28.0,Drama,,,,,,,,,28842200.0,12900549.4
269,3036,tt0109836,Frankenstein,Mary Shelley's Frankenstein,"Drama,Horror,Science,Fiction,Romance",45000000.0,112006296.0,1994-11-04,123.0,6.1,272.0,Drama,Horror,Science,Fiction,Romance,,,,,78583500.0,195596594.7
274,17402,tt0113808,Miami Rhapsody,Miami Rhapsody,"Comedy,Romance",6.0,5.0,1995-01-27,95.0,5.6,7.0,Comedy,Romance,,,,,,,,10.18,8.48
278,1945,tt0110638,Nell,Nell,"Drama,Thriller",31000000.0,106683817.0,1994-12-23,112.0,6.1,128.0,Drama,Thriller,,,,,,,,54135300.0,186301949.63
284,241,tt0110632,Natural Born Killers,Natural Born Killers,"Crime,Thriller,Drama",34000000.0,50282766.0,1994-08-25,119.0,6.9,927.0,Crime,Thriller,Drama,,,,,,,59374200.0,87808794.27
288,6950,tt0114069,Outbreak,Outbreak,"Action,Drama,Science,Fiction,Thriller",50000000.0,189859560.0,1995-03-10,127.0,6.4,522.0,Action,Drama,Science,Fiction,Thriller,,,,,84830000.0,322115729.5
289,101,tt0110413,Léon,Leon: The Professional,"Thriller,Crime,Drama",16000000.0,45284974.0,1994-09-14,110.0,8.2,4293.0,Thriller,Crime,Drama,,,,,,,27940800.0,79081150.1
290,63020,tt0114113,The Perez Family,The Perez Family,"Comedy,Drama,Romance",11000000.0,2832826.0,1995-05-12,113.0,6.6,9.0,Comedy,Drama,Romance,,,,,,,18662600.0,4806172.59
292,680,tt0110912,Pulp Fiction,Pulp Fiction,"Thriller,Crime",8000000.0,213928762.0,1994-09-10,154.0,8.3,8670.0,Thriller,Crime,,,,,,,,13970400.0,373583797.08
294,25296,tt0105652,Pushing Hands,Pushing Hands,"Comedy,Drama",400000.0,152322.0,1992-02-01,105.0,6.1,9.0,Comedy,Drama,,,,,,,,737600.0,280881.77
299,12106,tt0114214,The Quick and the Dead,The Quick and the Dead,"Action,Western",32000000.0,18552460.0,1995-02-09,107.0,6.2,431.0,Action,Western,,,,,,,,54291200.0,31476103.64
300,161495,tt0114296,Roommates,Roommates,"Drama,Comedy",22000000.0,12400000.0,1995-03-01,108.0,6.4,7.0,Drama,Comedy,,,,,,,,37325200.0,21037840.0
301,3586,tt0110907,Prêt-à-Porter,Prêt-à-Porter,"Drama,Comedy",15000000.0,11300653.0,1994-12-23,133.0,5.3,33.0,Drama,Comedy,,,,,,,,26194500.0,19734330.33
309,22586,tt0111333,The Swan Princess,The Swan Princess,Animation,35000000.0,9771658.0,1994-11-18,89.0,6.5,251.0,Animation,,,,,,,,,61120500.0,17064246.37
311,2636,tt0111255,The Specialist,The Specialist,"Action,Thriller",45000000.0,170362582.0,1994-10-07,110.0,5.5,317.0,Action,Thriller,,,,,,,,78583500.0,297504176.95
312,2164,tt0111282,Stargate,Stargate,"Action,Adventure,Science,Fiction",55000000.0,196567262.0,1994-10-27,121.0,6.8,942.0,Action,Adventure,Science,Fiction,,,,,,96046500.0,343265409.63
313,11395,tt0111070,The Santa Clause,The Santa Clause,"Fantasy,Drama,Comedy,Family",22000000.0,189833357.0,1994-11-10,97.0,6.3,501.0,Fantasy,Drama,Comedy,Family,,,,,,38418600.0,331505991.33
314,278,tt0111161,The Shawshank Redemption,The Shawshank Redemption,"Drama,Crime",25000000.0,28341469.0,1994-09-23,142.0,8.5,8358.0,Drama,Crime,,,,,,,,43657500.0,49492707.31
322,9067,tt0114614,Tank Girl,Tank Girl,"Action,Comedy,Fantasy,Science,Fiction",25000000.0,4064495.0,1995-03-31,98.0,5.5,140.0,Action,Comedy,Fantasy,Science,Fiction,,,,,42415000.0,6895822.22
324,193,tt0111280,Star Trek: Generations,Star Trek: Generations,"Science,Fiction,Action,Adventure,Thriller",38000000.0,120000000.0,1994-11-17,118.0,6.4,461.0,Science,Fiction,Action,Adventure,Thriller,,,,,66359400.0,209556000.0
325,25066,tt0114609,Tales from the Hood,Tales from the Hood,"Crime,Horror,Thriller",6000000.0,12000000.0,1995-05-24,98.0,5.4,33.0,Crime,Horror,Thriller,,,,,,,10179600.0,20359200.0
332,1587,tt0108550,What's Eating Gilbert Grape,What's Eating Gilbert Grape,"Romance,Drama",11000000.0,10032765.0,1993-12-17,118.0,7.5,943.0,Romance,Drama,,,,,,,,19698800.0,17966675.56
333,9271,tt0114857,Virtuosity,Virtuosity,"Action,Crime,Science,Fiction,Thriller",30000000.0,24048000.0,1995-08-04,106.0,5.4,163.0,Action,Crime,Science,Fiction,Thriller,,,,,50898000.0,40799836.8
334,2064,tt0114924,While You Were Sleeping,While You Were Sleeping,"Comedy,Drama,Romance",17000000.0,182057016.0,1995-04-21,103.0,6.5,340.0,Comedy,Drama,Romance,,,,,,,28842200.0,308877933.35
337,236,tt0110598,Muriel's Wedding,Muriel's Wedding,"Drama,Comedy,Romance",3000000.0,15119639.0,1994-09-29,106.0,6.9,104.0,Drama,Comedy,Romance,,,,,,,5238900.0,26403425.59
339,3049,tt0109040,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,"Comedy,Mystery",15000000.0,107217396.0,1994-02-04,86.0,6.4,1684.0,Comedy,Mystery,,,,,,,,26194500.0,187233738.63
342,10497,tt0104779,Bitter Moon,Bitter Moon,"Thriller,Drama,Romance",5000000.0,1862805.0,1992-09-02,139.0,7.0,115.0,Thriller,Drama,Romance,,,,,,,9220000.0,3435012.42
344,9331,tt0109444,Clear and Present Danger,Clear and Present Danger,"Action,Drama,Thriller",62000000.0,215887717.0,1994-08-03,141.0,6.4,390.0,Action,Drama,Thriller,,,,,,,108270600.0,377004720.2
345,10731,tt0109446,The Client,The Client,"Drama,Thriller,Crime,Mystery",45000000.0,117615211.0,1994-07-20,119.0,6.4,287.0,Drama,Thriller,Crime,Mystery,,,,,,78583500.0,205391442.97
348,9495,tt0109506,The Crow,The Crow,"Fantasy,Action,Thriller",15000000.0,94000000.0,1994-05-11,102.0,7.3,980.0,Fantasy,Action,Thriller,,,,,,,26194500.0,164152200.0
350,888,tt0109813,The Flintstones,The Flintstones,"Fantasy,Comedy,Family",46000000.0,341631208.0,1994-05-26,91.0,5.0,559.0,Fantasy,Comedy,Family,,,,,,,80329800.0,596590578.53
351,13,tt0109830,Forrest Gump,Forrest Gump,"Comedy,Drama,Romance",55000000.0,677945399.0,1994-07-06,142.0,8.2,8147.0,Comedy,Drama,Romance,,,,,,,96046500.0,1183896050.27
